CODE|LANGUAGE|TRANSLATION
FIELD_ERROR_LOGIN_USERNAME_BLANK|en|Username is mandatory
FIELD_ERROR_LOGIN_PASSWORD_BLANK|en|Password is mandatory
FIELD_ERROR_LOGIN_USERNAME_NOT_EXISTS|en|Username not found
FIELD_ERROR_LOGIN_PASSWORD_INCORRECT|en|Incorrect password
FIELD_ERROR_REGISTER_USERNAME_BLANK|en|Username is mandatory
FIELD_ERROR_REGISTER_PASSWORD_BLANK|en|Password is mandatory
FIELD_ERROR_REGISTER_USERNAME_EXISTS|en|Username already exists
FIELD_ERROR_REGISTER_PASSWORD_WEEK|en|Password not strong enough
FIELD_ERROR_REGISTER_USERNAME_MIN_LENGTH|en|Username must have at least 2 characters
FIELD_ERROR_REGISTER_USERNAME_MAX_LENGTH|en|Username must have up to 128 characters